BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,2907,24,,A1,4090 PARK AVENUE,,10457,1,0,1,"2,500","1,474",1901,1,A1,0,2024-03-28
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,69,,A1,4447 PARK AVENUE,,10457,1,0,1,"1,668","1,497",1899,1,A1,"615,000",2024-12-12
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,10,,A1,2040 WASHINGTON AVENUE,,10457,1,0,1,995,"1,566",1899,1,A1,0,2024-11-04
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,27,,A1,2090 WASHINGTON AVENUE,,10457,1,0,1,"2,356","2,213",1901,1,A1,0,2024-06-11
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,40,,A1,2073 BATHGATE AVENUE,,10457,1,0,1,"1,933","1,344",1899,1,A1,"425,000",2024-06-27
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3047,11,,A1,482 EAST 181ST STREET,,10457,1,0,1,"1,556","1,240",1901,1,A1,0,2024-06-14
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3050,91,,A9,503 EAST 182 STREET,,10457,1,0,1,"1,960","1,705",1901,1,A9,"515,000",2024-04-11
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,103,,A1,2327 BASSFORD AVE,,10458,1,0,1,913,"1,248",1901,1,A1,"413,000",2024-08-06
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2904,22,,B9,454 EAST 172ND ST,,10457,2,0,2,"1,658","1,428",1901,1,B9,"500,000",2024-02-08
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,117,,B1,1538 WASHINGTON AVENUE,,10457,2,0,2,"2,000","2,400",1993,1,B1,"750,000",2024-05-24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,150,,B1,521 EAST 171ST STREET,,10457,2,0,2,"2,000","2,400",1993,1,B1,"835,000",2024-05-10
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2927,124,,B1,1487 CROTONA PLACE,,10456,2,0,2,"1,900","2,394",1994,1,B1,0,2024-05-08
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,202,,B3,4465 PARK AVENUE,,10457,2,0,2,"1,569","1,497",1899,1,B3,"380,000",2024-04-25
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,46,,S2,1967 WASHINGTON AVENUE,,10457,2,1,3,"2,728","2,946",1899,1,S2,0,2024-01-11
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,42,,B1,440 E 186TH ST,,10458,2,0,2,"2,000","2,112",1901,1,B1,"925,000",2024-12-18
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3048,53,,S2,4411 3RD AVENUE,,10457,2,1,3,"2,569","3,750",1931,1,S2,0,2024-12-24
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,64,,B2,506 EAST 183,,10458,2,0,2,"1,316","2,112",1901,1,B2,"494,529",2024-03-28
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,6,,B9,2304 BASSFORD,,10458,2,0,2,"2,129","2,960",1901,1,B9,"1,075,000",2024-12-20
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,6,,B9,2304 BASSFORD AVE,,10458,2,0,2,"2,129","2,960",1901,1,B9,"475,000",2024-12-18
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,15,,B2,2305 BATHGATE,,10458,2,0,2,"2,358","2,652",1901,1,B2,0,2024-03-19
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,15,,B2,2305 BATHGATE AVENUE,,10458,2,0,2,"2,358","2,652",1901,1,B2,"470,000",2024-03-14
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,2929,170,,C0,1699 FULTON,,10457,3,0,3,"2,360","3,402",2003,1,C0,0,2024-07-31
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3035,53,,C0,459 EAST 178TH STREET,,10457,3,0,3,"1,799","3,520",2007,1,C0,"1,175,000",2024-09-12
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3035,54,,C0,457 EAST 178TH STREET,,10457,3,0,3,"1,800","3,520",2007,1,C0,"1,175,000",2024-09-12
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3047,29,,C0,2108 BATHGATE,,10457,3,0,3,"1,650","3,316",2005,1,C0,"885,000",2024-03-15
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3031,14,,V0,2324 WEBSTER AVENUE,,10458,0,0,0,"7,185",0,2024,1,V0,0,2024-02-29
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3043,10,,V0,1940 WASHINGTON AVENUE,,10457,0,0,0,"22,381",0,,1,V0,0,2024-02-16
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3043,16,,V0,N/A WASHINGTON AVENUE,,10457,0,0,0,"7,489",0,,1,V0,0,2024-02-16
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3043,22,,V0,1951 BATHGATE AVENUE,,10457,0,0,0,"7,581",0,,1,V0,0,2024-02-16
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3043,23,,V0,1949 BATHGATE AVENUE,,10457,0,0,0,"2,653",0,,1,V0,0,2024-02-16
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3044,49,,V0,N/A BATHGATE AVENUE,,10457,0,0,0,276,0,,1,V0,"10,000",2024-06-13
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3051,7,,V0,2246 BATHGATE AVENUE,,10457,0,0,0,"2,923",0,,1,V0,"5,000",2024-02-22
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,3051,7,,V0,2246 BATHGATE AVENUE,,10457,0,0,0,"2,923",0,,1,V0,"530,000",2024-06-18
2,BATHGATE,06 TAX CLASS 1 - OTHER,1,3046,36,,Z0,2081 BATHGATE AVENUE,,10457,0,0,0,"2,329",0,,1,Z0,"215,000",2024-12-05
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3030,141,,C1,2248 WEBSTER AVENUE,,10457,27,0,27,"3,690","16,120",1913,2,C1,"1,950,000",2024-07-30
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3031,39,,C1,2384 WEBSTER AVENUE,,10458,8,0,8,"3,600","8,580",1909,2,C1,"1,150,000",2024-11-01
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2A,3036,52,,C3,2039 WASHINGTON AVENUE,,10457,4,0,4,"3,625","7,050",1931,2,C3,0,2024-10-30
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3050,8,,C1,2235 BASSFORD AVENUE,,10457,33,0,33,"5,592","28,000",1925,2,C1,"1,575,000",2024-12-18
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,3051,31,,C7,548 EAST 183 STREET,,10458,32,3,35,"5,452","24,094",1912,2,C7,0,2024-05-24
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3052,18,,C7,4533 THIRD AVENUE,,10458,8,1,9,"2,500","10,000",1900,2,C7,"2,200,000",2024-11-04
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3044,40,,D4,"495 EAST 178 STREET, 6H",,10457,,,,,,1941,2,D4,"72,000",2024-07-19
