BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,10,,C0,356 E 8 ST,,10009,3,0,3,"1,804","2,928",1899,1,C0,"2,000,000",2024-03-13
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,9,,C1,234 E 7TH ST,,10009,20,0,20,"2,059","6,490",1900,2,C1,"5,615,000",2024-05-30
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,376,54,,C4,"719 E 6TH STREET, 4C",,10009,20,0,20,"2,302","9,750",1900,2,C4,"168,494",2024-05-28
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385,38,,C4,"21 AVENUE C, 2B",,10009,20,2,22,"3,315","17,160",1900,2,C4,"163,587",2024-05-16
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385,38,,C4,"21 AVENUE C, 4A",,10009,20,2,22,"3,315","17,160",1900,2,C4,"116,848",2024-05-31
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385,38,,C4,"21-23 AVENUE C, 3D",,10009,20,2,22,"3,315","17,160",1900,2,C4,"210,326",2024-06-25
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385,38,,C4,"21-23 AVENUE C, 4C",,10009,20,2,22,"3,315","17,160",1900,2,C4,"210,326",2024-05-16
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,389,45,,C4,631 EAST 6TH STREET,,10009,10,0,10,"2,271","6,985",1900,2,C4,0,2024-02-28
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,391,52,,C3,315 EAST 8TH STREET,,10009,4,0,4,"1,437","3,412",1900,2,C3,0,2024-07-02
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,392,33,,C7,"155 AVENUE C, 4A",,10009,17,1,18,"1,909","8,441",1900,2,C7,"97,858",2024-09-17
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,398,52,,C7,174 EAST 2ND STREET,,10009,9,1,10,"2,226","5,250",1900,2,C7,"21,990,000",2024-01-30
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,398,53,,C7,170 EAST 2ND STREET,,10009,36,3,39,"4,452","17,664",1900,2,C7,"21,990,000",2024-01-30
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,401,13,,C4,506 EAST 6 STREET,,10009,14,0,14,"2,426","6,825",1920,2,C4,"5,100,000",2024-01-12
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,44,,C4,543 EAST 6TH STREET,,10009,8,1,9,"1,820","7,083",1930,2,C4,0,2024-07-25
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,59,,C4,513 EAST 6TH STREET,,10009,8,1,9,"2,115","6,270",1920,2,C4,0,2024-04-11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,60,,C7,511 EAST 6TH STREET,,10009,8,1,9,"2,150","6,152",1920,2,C7,"3,400,000",2024-12-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,62,,C4,507 EAST 6TH STREET,,10009,8,1,9,"2,271","6,855",1920,2,C4,0,2024-04-11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,64,,C4,503 EAST 6TH STREET,,10009,8,1,9,"2,271","7,285",1920,2,C4,0,2024-04-11
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,404,43,,C4,325 EAST 10TH STREET,,10009,18,0,18,"2,370","11,000",1900,2,C4,"9,620,000",2024-01-30
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,406,14,,C1,516 EAST 13TH STREET,,10009,10,0,10,"2,581","10,010",1910,2,C1,"11,032,000",2024-09-30
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,406,15,,C1,518 EAST 13TH STREET,,10009,10,0,10,"2,581","10,010",1910,2,C1,"11,032,000",2024-09-30
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,406,44,,C4,"541 EAST 12TH STREET, 2",,10009,7,1,8,"1,850","6,005",1900,2,C4,0,2024-01-11
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,396,10,,D6,604-622 EAST 14TH STREET,,10009,616,2,618,"85,497","423,836",1980,2,D6,0,2024-01-26
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,398,35,,D6,194 EAST 2ND STREET,,10009,61,3,64,"15,011","77,000",1997,2,D6,"43,000,000",2024-04-22
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,406,47,,D3,535 EAST 12TH STREET,,10009,11,0,11,"2,581","10,067",2021,2,D3,"6,852,805",2024-09-05
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,374,8,,C6,"702 5TH STREET, 5W",,10009,,,,,,1900,2,C6,"1,050,000",2024-12-19
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,5,,C6,"98-100 AVENUE C, 3A",,10009,,,,,,1900,2,C6,"400,000",2024-05-13
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,5,,C6,"98-100 AVENUE C, 3B",,10009,,,,,,1900,2,C6,"375,000",2024-11-05
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,376,13,,C6,"242 EAST 7TH STREET, 4",,10009,,,,,,1905,2,C6,"1,990,000",2024-02-22
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,376,13,,C6,"242 EAST 7TH STREET, PH",,10009,,,,,,1905,2,C6,"2,225,000",2024-03-19
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,16,,C6,"248 EAST 7TH STREET, 10",,10009,,,,,,1928,2,C6,"700,000",2024-02-07
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,16,,C6,"248 EAST 7TH STREET, 9",,10009,,,,,,1928,2,C6,"700,000",2024-02-07
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,31,,C6,"278 EAST 7TH STREET, 6B/6D",,10009,,,,,,1920,2,C6,"192,478",2024-01-11
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,62,,C6,"249 EAST 7TH STREET, 6",,10009,,,,,,2001,2,C6,"645,000",2024-08-29
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,379,48,,C6,"733 E 9 ST, 3C",,10009,,,,,,1900,2,C6,"221,685",2024-03-15
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,387,15,,C6,"610 EAST 5TH STREET, 4",,10009,,,,,,1900,2,C6,"465,000",2024-01-25
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,21,,C6,"206 EAST 7TH STREET, 7",,10009,,,,,,1900,2,C6,"650,000",2024-11-06
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,389,26,,C6,"216 EAST 7TH STREET, 4",,10009,,,,,,1925,2,C6,0,2024-12-10
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,30,,C6,"224 E 7TH, 16",,10009,,,,,,1950,2,C6,"1,925,000",2024-10-15
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,389,48,,C6,"625 EAST 6TH STREET, 3",,10009,,,,,,1910,2,C6,"680,000",2024-08-09
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,389,50,,C6,"621 EAST 6TH STREET, 3",,10009,,,,,,1920,2,C6,"590,000",2024-08-23
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,389,50,,C6,"621 EAST 6TH STREET, 6",,10009,,,,,,1920,2,C6,"685,000",2024-12-04
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,54,,C6,"613 EAST 6TH STREET, 5A",,10009,,,,,,1920,2,C6,"928,750",2024-05-21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,390,42,,C6,"219 EAST 7TH STREET, 24",,10009,,,,,,1910,2,C6,"635,000",2024-08-15
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,14,,C6,"614 E 9, 3E",,10009,,,,,,1910,2,C6,0,2024-10-02
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,48,,C6,"323 EAST 8TH STREET, 6C",,10009,,,,,,1910,2,C6,"410,000",2024-01-22
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,394,52,,C6,"633 EAST 11TH STREET, 21",,10009,,,,,,1937,2,C6,"655,000",2024-06-21
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"626 EAST 14TH ST, 19",,10009,,,,,,1920,2,C6,"440,000",2024-08-08
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"626 EAST 14TH STREET, 9",,10009,,,,,,1920,2,C6,"660,000",2024-07-18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"630 EAST 14TH STREET, 14",,10009,,,,,,1920,2,C6,"450,000",2024-08-20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"630 EAST 14TH STREET, 7",,10009,,,,,,1920,2,C6,"430,000",2024-09-11
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"632 EAST 14TH STREET, 15",,10009,,,,,,1920,2,C6,"415,000",2024-10-30
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"632 EAST 14TH STREET, 16",,10009,,,,,,1920,2,C6,0,2024-12-09
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"634 EAST 14TH STREET, 17",,10009,,,,,,1920,2,C6,"400,000",2024-10-24
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"636 EAST 14TH STREET, 15",,10009,,,,,,1920,2,C6,"390,000",2024-11-26
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,397,11,,C6,"155 EAST 2ND STREET, 3A",,10009,,,,,,1900,2,C6,"340,000",2024-12-20
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,397,11,,C6,"155 EAST 2ND STREET, 3B",,10009,,,,,,1900,2,C6,"530,000",2024-07-02
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,397,11,,C6,"155 EAST 2ND STREET, 4D",,10009,,,,,,1900,2,C6,"240,000",2024-03-27
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,398,58,,C6,"160 EAST 2ND STREET, 4B",,10009,,,,,,1950,2,C6,0,2024-07-22
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,398,58,,C6,"162 EAST 2ND STREET, B",,10009,,,,,,1950,2,C6,"375,000",2024-03-28
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,401,22,,C6,"524 EAST 6TH STREET, 2",,10009,,,,,,1900,2,C6,0,2024-10-29
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,402,47,,C6,"537 EAST 6TH STREET, 2F",,10009,,,,,,1900,2,C6,"1,300,000",2024-02-12
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,404,11,,C6,"514 EAST 11TH STREET, 4A",,10009,,,,,,1929,2,C6,"700,000",2024-11-13
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,404,13,,C6,"518 EAST 11TH STREET, 4A",,10009,,,,,,1900,2,C6,"775,000",2024-04-17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,404,26,,C6,"544 EAST 11 STREET, 3B",,10009,,,,,,1928,2,C6,"685,000",2024-03-15
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,404,49,,C6,"313 EAST 10TH STREET, 5PH",,10009,,,,,,1900,2,C6,"2,060,000",2024-09-17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,406,18,,C6,"524 EAST 13TH STREET, B2",,10009,,,,,,1925,2,C6,0,2024-09-25
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,406,18,,C6,"524 EAST 13TH STREET, C1",,10009,,,,,,1925,2,C6,0,2024-09-25
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,406,18,,C6,"524 EAST 13TH STREET, E4",,10009,,,,,,1925,2,C6,"410,000",2024-03-26
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,407,53,,C6,"515 EAST 13 STREET, 4",,10009,,,,,,1900,2,C6,0,2024-05-17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,407,53,,C6,"515 EAST 13TH STREET, 9",,10009,,,,,,1900,2,C6,"675,000",2024-07-01
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS,2,385,56,,D4,"226 EAST 2ND STREET, 5F",,10009,,,,,,1900,2,D4,"725,000",2024-06-26
